"SPECIES","PHASE_OF_FLIGHT","TIME_OF_DAY","reported_strikes","damaging_strikes","damage_rate"
"Sandhill crane","Take-off Run","Night",5,4,0.8
"Tundra swan","Climb","Day",5,4,0.8
"Turkey vulture","Approach","Dusk",5,4,0.8
"White-tailed deer","Taxi","Day",5,4,0.8
"Geese","En Route","Night",24,19,0.791666666666667
"Northern pintail","Climb","Day",14,11,0.785714285714286
"Canada goose","Descent","Night",9,7,0.777777777777778
"Common loon","Climb","Day",9,7,0.777777777777778
"Mallard","En Route","Day",9,7,0.777777777777778
"White-tailed deer","Landing Roll","Dawn",9,7,0.777777777777778
"New World vultures","En Route","Day",61,47,0.770491803278688
"Mule deer","Take-off Run","Night",13,10,0.769230769230769
"Canada goose","En Route","Night",20,15,0.75
"Snow goose","Climb","Day",16,12,0.75
"Bald eagle","Landing Roll","Dawn",4,3,0.75
"Coyote","Climb","Night",4,3,0.75
"Falcons, kestrels, falconets","Climb","Day",4,3,0.75
"Gadwall","Climb","Day",4,3,0.75
"Gadwall","En Route","Night",4,3,0.75
"Great blue heron","Approach","Dawn",4,3,0.75
"Green-winged teal","Climb","Night",4,3,0.75
"Green-winged teal","En Route","Night",4,3,0.75
"Hawks","En Route","Night",4,3,0.75
"Mule deer","Climb","Day",4,3,0.75
"Northern flicker","Climb","Night",4,3,0.75
"Northern shoveler","Climb","Day",4,3,0.75
"Snow goose/Ross's goose complex","Climb","Day",4,3,0.75
"Snow goose/Ross's goose complex","Climb","Night",4,3,0.75
"White-headed gull complex","En Route","Day",4,3,0.75
"Yellow-billed cuckoo","Approach","Day",4,3,0.75
"Sandhill crane","Climb","Day",23,17,0.739130434782609
"White-tailed deer","Take-off Run","Dawn",15,11,0.733333333333333
"Ducks","En Route","Day",26,19,0.730769230769231
"Hawks","En Route","Day",48,35,0.729166666666667
"Common loon","Approach","Day",22,16,0.727272727272727
"Northern shoveler","Climb","Night",11,8,0.727272727272727
"Snow goose","Approach","Night",80,58,0.725
"Greater white-fronted goose","Approach","Night",54,39,0.722222222222222
"Black vulture","Approach","Day",208,150,0.721153846153846
"Double-crested cormorant","Climb","Day",39,28,0.717948717948718
"Northern pintail","Climb","Night",21,15,0.714285714285714
"American white pelican","Climb","Day",14,10,0.714285714285714
"Greater white-fronted goose","Climb","Day",7,5,0.714285714285714
"Wood stork","Climb","Day",7,5,0.714285714285714
"Tropicbirds","En Route","Day",10,7,0.7
"Black vulture","Climb","Day",80,55,0.6875
"Anhinga","Climb","Day",22,15,0.681818181818182
"White-tailed deer","Approach","Dusk",27,18,0.666666666666667
"Snow goose","Approach","Day",12,8,0.666666666666667
"White-tailed deer","Climb","Dusk",9,6,0.666666666666667
"Brown pelican","Take-off Run","Day",6,4,0.666666666666667
"Great blue heron","Climb","Dawn",6,4,0.666666666666667
"Ruddy duck","Climb","Night",6,4,0.666666666666667
"American barn owl","Descent","Night",3,2,0.666666666666667
"American white pelican","En Route","Day",3,2,0.666666666666667
"Bald eagle","Take-off Run","Night",3,2,0.666666666666667
"Black vulture","Local","Day",3,2,0.666666666666667
"Brant","Climb","Day",3,2,0.666666666666667
"Canada goose","Arrival","Day",3,2,0.666666666666667
"Common goldeneye","Climb","Day",3,2,0.666666666666667
"Common merganser","Climb","Day",3,2,0.666666666666667
"Doves","En Route","Day",3,2,0.666666666666667
"Ducks, geese, swans","En Route","Day",3,2,0.666666666666667
"Geese","En Route","Dusk",3,2,0.666666666666667
"Glaucous-winged gull","En Route","Day",3,2,0.666666666666667
"Great black-backed gull","Climb","Night",3,2,0.666666666666667
"Greater white-fronted goose","Climb","Dawn",3,2,0.666666666666667
"Hermit thrush","En Route","Night",3,2,0.666666666666667
"Lagomorphs (rabbits, hares)","Landing Roll","Night",3,2,0.666666666666667
"Lesser scaup","Approach","Day",3,2,0.666666666666667
"Long-tailed duck","Climb","Night",3,2,0.666666666666667
