"SPECIES","PHASE_OF_FLIGHT","TIME_OF_DAY","reported_strikes","damaging_strikes","damage_rate"
"Burrowing owl","Approach","Night",17,0,0
"Microbats","Approach","Day",17,0,0
"Red-shouldered hawk","Take-off Run","Day",17,0,0
"Ruby-crowned kinglet","Approach","Day",17,0,0
"Ruby-throated hummingbird","Approach","Day",17,0,0
"Savannah sparrow","Landing Roll","Night",17,0,0
"Spotted dove","Approach","Day",17,0,0
"Vesper sparrow","Approach","Night",17,0,0
"Western meadowlark","Departure","Day",17,0,0
"Black-tailed jackrabbit","Take-off Run","Dawn",16,0,0
"Brewer's sparrow","Approach","Night",16,0,0
"Chestnut munia","Take-off Run","Day",16,0,0
"Cliff swallow","Approach","Dusk",16,0,0
"Eastern meadowlark","Approach","Night",16,0,0
"Falcons, kestrels, falconets","Landing Roll","Day",16,0,0
"Horned lark","Take-off Run","Dusk",16,0,0
"Lapland longspur","Take-off Run","Day",16,0,0
"Lark bunting","Take-off Run","Day",16,0,0
"Mourning dove","Arrival","Day",16,0,0
"Swallows","Landing Roll","Dusk",16,0,0
"Virginia opossum","Taxi","Night",16,0,0
"Western meadowlark","Take-off Run","Dusk",16,0,0
"American kestrel","Taxi","Day",15,0,0
"Blackburnian warbler","Approach","Night",15,0,0
"Cape May warbler","Approach","Night",15,0,0
"Doves","Approach","Dusk",15,0,0
"Evening bat","Landing Roll","Night",15,0,0
"Gulls","Parked","Day",15,0,0
"Lapland longspur","Landing Roll","Day",15,0,0
"Marsh wren","Approach","Night",15,0,0
"Northern mockingbird","Landing Roll","Day",15,0,0
"Red-winged blackbird","Approach","Night",15,0,0
"Sandpipers, curlews, phalaropes, allies","Landing Roll","Night",15,0,0
"Sparrows","Approach","Dawn",15,0,0
"Sparrows","Climb","Dusk",15,0,0
"Swallows","Departure","Day",15,0,0
"American barn owl","Landing Roll","Dawn",14,0,0
"Baltimore oriole","Approach","Night",14,0,0
"Blackpoll warbler","Approach","Day",14,0,0
"Bonin petrel","Take-off Run","Night",14,0,0
"Cave swallow","Take-off Run","Day",14,0,0
"Cliff swallow","Arrival","Day",14,0,0
"Cliff swallow","Departure","Day",14,0,0
"Common nighthawk","Approach","Dusk",14,0,0
"Dunlin","Approach","Day",14,0,0
"European starling","Take-off Run","Night",14,0,0
"Ovenbird","Approach","Day",14,0,0
"Rabbits","Landing Roll","Night",14,0,0
"Raccoon","Take-off Run","Night",14,0,0
"Red fox","Take-off Run","Day",14,0,0
"Short-eared owl","Take-off Run","Day",14,0,0
"Swallows","Approach","Dusk",14,0,0
"Terns, noddies","Approach","Day",14,0,0
"Turtles","Take-off Run","Day",14,0,0
"Western meadowlark","Landing Roll","Night",14,0,0
"Wilson's snipe","Approach","Day",14,0,0
"Barn swallow","Descent","Day",13,0,0
"Black-bellied plover","Take-off Run","Night",13,0,0
"Blackbirds","Landing Roll","Dusk",13,0,0
"Blackbirds","Take-off Run","Dawn",13,0,0
"Boat-tailed grackle","Landing Roll","Day",13,0,0
"Chestnut munia","Landing Roll","Day",13,0,0
"Common grackle","Approach","Dusk",13,0,0
"Dark-eyed junco","Landing Roll","Night",13,0,0
"Eastern kingbird","Take-off Run","Day",13,0,0
"Eastern red bat","Approach","Day",13,0,0
"Hermit thrush","Descent","Night",13,0,0
"Hermit thrush","Landing Roll","Night",13,0,0
"Horned lark","Descent","Day",13,0,0
"Least flycatcher","Approach","Night",13,0,0
"Loggerhead shrike","Landing Roll","Day",13,0,0
"Northern mockingbird","Take-off Run","Day",13,0,0
"Pacific golden-plover","Approach","Dawn",13,0,0
"Pine siskin","Approach","Day",13,0,0
"Plovers","Approach","Day",13,0,0
"Rock pigeon","Departure","Day",13,0,0
"Rock pigeon","Landing Roll","Dawn",13,0,0
"Rough-legged hawk","Landing Roll","Day",13,0,0
"Seminole bat","Approach","Night",13,0,0
"Tree swallow","Landing Roll","Dusk",13,0,0
"White-tailed kite","Landing Roll","Day",13,0,0
"Wilson's warbler","Approach","Day",13,0,0
"Boat-tailed grackle","Approach","Day",12,0,0
"Bobolink","Approach","Night",12,0,0
"Brazilian free-tailed bat","Descent","Night",12,0,0
"Cliff swallow","Approach","Night",12,0,0
"Cliff swallow","Take-off Run","Dawn",12,0,0
"Domestic/feral dog","Approach","Day",12,0,0
"Doves","Climb","Dawn",12,0,0
"Golden-crowned kinglet","Approach","Night",12,0,0
"Herring gull","Landing Roll","Night",12,0,0
"Horned lark","Approach","Dawn",12,0,0
"Little brown bat","Approach","Night",12,0,0
"Microbats","Take-off Run","Night",12,0,0
"Mourning dove","Taxi","Night",12,0,0
"Pacific golden-plover","Take-off Run","Dawn",12,0,0
"Plovers","Take-off Run","Day",12,0,0
"Rock pigeon","Approach","Dawn",12,0,0
"Semipalmated plover","Take-off Run","Day",12,0,0
"Short-eared owl","Landing Roll","Dusk",12,0,0
"Snowy owl","Approach","Day",12,0,0
"Sparrows","Take-off Run","Night",12,0,0
"Swallows","Take-off Run","Dawn",12,0,0
"Swallows","Take-off Run","Dusk",12,0,0
"Tennessee warbler","Approach","Day",12,0,0
"Virginia opossum","Take-off Run","Night",12,0,0
"Western meadowlark","Approach","Dusk",12,0,0
"White-winged dove","Landing Roll","Day",12,0,0
"Wrens","Approach","Day",12,0,0
"Yellow-rumped warbler","Landing Roll","Night",12,0,0
"Yellow bittern","Take-off Run","Day",12,0,0
"American goldfinch","Take-off Run","Day",11,0,0
"American redstart","Landing Roll","Night",11,0,0
"Black-bellied plover","Approach","Day",11,0,0
"Blackbirds","Climb","Dusk",11,0,0
"Bobolink","Approach","Day",11,0,0
"Chimney swift","Local","Day",11,0,0
"Cliff swallow","Climb","Dusk",11,0,0
"Coyote","Approach","Night",11,0,0
"Eastern meadowlark","Climb","Dawn",11,0,0
"Ferruginous hawk","Landing Roll","Day",11,0,0
"Free-tailed bats","Landing Roll","Night",11,0,0
"Gray kingbird","Landing Roll","Day",11,0,0
"Green iguana","Landing Roll","Day",11,0,0
"Lapland longspur","Climb","Day",11,0,0
"Microbats","Approach","Dusk",11,0,0
"Microbats","Take-off Run","Day",11,0,0
"Mountain bluebird","Approach","Day",11,0,0
"Pine warbler","Approach","Night",11,0,0
"Plovers","Landing Roll","Day",11,0,0
"Rabbits","Take-off Run","Night",11,0,0
"Red-eyed vireo","Climb","Night",11,0,0
"Red fox","Approach","Day",11,0,0
"Rock pigeon","Landing Roll","Dusk",11,0,0
"Scissor-tailed flycatcher","Climb","Day",11,0,0
"Short-eared owl","Take-off Run","Dusk",11,0,0
"Song sparrow","Take-off Run","Day",11,0,0
"Sparrows","Landing Roll","Dawn",11,0,0
"Sparrows","Taxi","Day",11,0,0
"Swainson's thrush","Climb","Day",11,0,0
"White-throated sparrow","Climb","Night",11,0,0
"Wrens","Landing Roll","Day",11,0,0
"Yellow warbler","Approach","Day",11,0,0
"American barn owl","Landing Roll","Dusk",10,0,0
"American barn owl","Take-off Run","Dawn",10,0,0
"American golden-plover","Landing Roll","Night",10,0,0
"American kestrel","Landing Roll","Dawn",10,0,0
"American pipit","Approach","Dusk",10,0,0
"Black-headed grosbeak","Approach","Night",10,0,0
"Black noddy","Landing Roll","Day",10,0,0
"Bonin petrel","Approach","Night",10,0,0
"Buff-breasted sandpiper","Take-off Run","Day",10,0,0
"Canada warbler","Approach","Night",10,0,0
"Cliff swallow","Take-off Run","Dusk",10,0,0
"Dark-eyed junco","Descent","Night",10,0,0
"Eastern kingbird","Landing Roll","Day",10,0,0
"Eurasian collared dove","Landing Roll","Day",10,0,0
"Field sparrow","Landing Roll","Day",10,0,0
"Grasshopper sparrow","Take-off Run","Day",10,0,0
"Great-tailed grackle","Landing Roll","Day",10,0,0
"Killdeer","Climb","Dawn",10,0,0
"Least sandpiper","Approach","Night",10,0,0
"Lincoln's sparrow","Climb","Night",10,0,0
"Orange-crowned warbler","Approach","Day",10,0,0
"Pacific golden-plover","Take-off Run","Dusk",10,0,0
"Perching birds (y)","Climb","Dawn",10,0,0
"Purple martin","Landing Roll","Dusk",10,0,0
"Red-eyed vireo","Approach","Day",10,0,0
"Ring-billed gull","Landing Roll","Dusk",10,0,0
"Rock pigeon","Climb","Dusk",10,0,0
"Rock pigeon","Local","Day",10,0,0
"Sandpipers, curlews, phalaropes, allies","Approach","Night",10,0,0
"Semipalmated plover","Approach","Day",10,0,0
"Short-eared owl","Approach","Dusk",10,0,0
"Snowy egret","Take-off Run","Day",10,0,0
"Sparrows","Local","Day",10,0,0
"Western kingbird","Climb","Day",10,0,0
"Wrens","Take-off Run","Day",10,0,0
"Yellow-rumped warbler","Landing Roll","Day",10,0,0
"Acadian flycatcher","Approach","Night",9,0,0
"Alder/willow flycatcher complex","Approach","Night",9,0,0
"American golden-plover","Approach","Night",9,0,0
"American robin","Climb","Dusk",9,0,0
"American tree sparrow","Approach","Night",9,0,0
"Barn swallow","Approach","Dawn",9,0,0
"Black-tailed jackrabbit","Take-off Run","Day",9,0,0
"Cedar waxwing","Approach","Dawn",9,0,0
"Cliff swallow","Local","Day",9,0,0
"Common yellowthroat","Landing Roll","Day",9,0,0
"Eastern kingbird","Approach","Night",9,0,0
"Eurasian skylark","Approach","Day",9,0,0
"Gopher tortoise","Landing Roll","Day",9,0,0
"Great black-backed gull","Landing Roll","Day",9,0,0
"Killdeer","Descent","Day",9,0,0
"New World wood-warblers","Approach","Day",9,0,0
"North American porcupine","Landing Roll","Night",9,0,0
"Red-eyed vireo","Landing Roll","Night",9,0,0
"Red fox","Landing Roll","Dusk",9,0,0
"Ring-billed gull","Landing Roll","Dawn",9,0,0
"Ring-billed gull","Take-off Run","Dusk",9,0,0
"Ruddy turnstone","Landing Roll","Day",9,0,0
"Rufous hummingbird","Approach","Day",9,0,0
"Savannah sparrow","Approach","Dusk",9,0,0
"Scaly-breasted munia","Climb","Day",9,0,0
"Semipalmated plover","Landing Roll","Day",9,0,0
"Song sparrow","Landing Roll","Night",9,0,0
"Sparrows","Arrival","Day",9,0,0
"Swifts","Approach","Day",9,0,0
"Terns, noddies","Landing Roll","Day",9,0,0
"Tree swallow","Take-off Run","Dawn",9,0,0
"Turtles","Landing Roll","Day",9,0,0
"Vesper sparrow","Take-off Run","Day",9,0,0
"Western meadowlark","Local","Day",9,0,0
"White-headed gull complex","Approach","Dusk",9,0,0
"Yellow-rumped warbler","Descent","Night",9,0,0
"American goldfinch","Landing Roll","Day",8,0,0
"American woodcock","Landing Roll","Night",8,0,0
"Barn swallow","Taxi","Day",8,0,0
"Blackbirds","Climb","Night",8,0,0
"Bonaparte's gull","Landing Roll","Day",8,0,0
"Brazilian free-tailed bat","Departure","Day",8,0,0
"Brazilian free-tailed bat","Landing Roll","Day",8,0,0
"Buff-breasted sandpiper","Landing Roll","Day",8,0,0
"Chipping sparrow","Approach","Day",8,0,0
"Cliff swallow","Landing Roll","Night",8,0,0
"Common gray fox","Landing Roll","Night",8,0,0
"Common myna","Approach","Day",8,0,0
"Common nighthawk","Climb","Day",8,0,0
"Common nighthawk","Landing Roll","Dusk",8,0,0
"Common nighthawk","Take-off Run","Dawn",8,0,0
"Common raven","Landing Roll","Day",8,0,0
"Common snapping turtle","Landing Roll","Day",8,0,0
"Common yellowthroat","Approach","Day",8,0,0
"Coyote","Take-off Run","Dusk",8,0,0
"Eastern kingbird","Approach","Day",8,0,0
"Eastern red bat","Approach","Dusk",8,0,0
"Eastern red bat","Landing Roll","Day",8,0,0
"European starling","Arrival","Day",8,0,0
"European starling","Descent","Day",8,0,0
"Field sparrow","Take-off Run","Day",8,0,0
"Gray catbird","Climb","Night",8,0,0
"Gray catbird","Descent","Night",8,0,0
"Hermit thrush","Landing Roll","Day",8,0,0
"Herons","Landing Roll","Day",8,0,0
"Hummingbirds","Approach","Day",8,0,0
"Indigo bunting","Approach","Day",8,0,0
"Killdeer","Arrival","Day",8,0,0
"Killdeer","Taxi","Night",8,0,0
"Laughing gull","Departure","Day",8,0,0
"Least sandpiper","Landing Roll","Night",8,0,0
"Least tern","Approach","Day",8,0,0
"Lincoln's sparrow","Approach","Day",8,0,0
"MacGillivray's warbler","Approach","Night",8,0,0
"Microbats","Landing Roll","Day",8,0,0
"Mississippi kite","Approach","Day",8,0,0
"Mountain bluebird","Landing Roll","Day",8,0,0
"Mourning dove","Arrival","Night",8,0,0
"Mourning dove","Departure","Dawn",8,0,0
"New World wood-warblers","Take-off Run","Day",8,0,0
"Northern flicker","Approach","Day",8,0,0
"Pacific golden-plover","Climb","Night",8,0,0
"Pectoral sandpiper","Landing Roll","Day",8,0,0
"Pigeons, doves","Take-off Run","Day",8,0,0
"Prairie warbler","Approach","Night",8,0,0
"Ruby-crowned kinglet","Descent","Night",8,0,0
"Sandpipers, curlews, phalaropes, allies","Approach","Dusk",8,0,0
"Shorebirds","Approach","Day",8,0,0
"Short-eared owl","Landing Roll","Dawn",8,0,0
"Swallows","Climb","Dusk",8,0,0
"Tyrant (New World) flycatchers","Approach","Night",8,0,0
"Violet-green swallow","Landing Roll","Day",8,0,0
"Virginia rail","Approach","Night",8,0,0
"White-throated sparrow","Descent","Night",8,0,0
"Yellow-bellied flycatcher","Approach","Night",8,0,0
"Yellow-rumped warbler","Approach","Dawn",8,0,0
"Yellow-rumped warbler","En Route","Night",8,0,0
"Yellow bittern","Landing Roll","Day",8,0,0
"Zenaida dove","Landing Roll","Day",8,0,0
"American barn owl","Approach","Dawn",7,0,0
"American crow","Approach","Night",7,0,0
"American crow","Landing Roll","Night",7,0,0
"American kestrel","Climb","Dusk",7,0,0
"American robin","Landing Roll","Dawn",7,0,0
"Baird's sandpiper","Landing Roll","Day",7,0,0
"Bank swallow","Departure","Day",7,0,0
"Barred owl","Approach","Night",7,0,0
"Barred owl","Landing Roll","Night",7,0,0
"Black-crowned night heron","Landing Roll","Night",7,0,0
"Black-tailed jackrabbit","Landing Roll","Day",7,0,0
"Black-throated blue warbler","Approach","Day",7,0,0
"Blackpoll warbler","Climb","Night",7,0,0
"Blue-headed vireo","Approach","Night",7,0,0
"Blue jay","Approach","Day",7,0,0
"Brown thrasher","Approach","Night",7,0,0
"Chimney swift","Departure","Day",7,0,0
"Chipping sparrow","Descent","Night",7,0,0
"Common ground dove","Landing Roll","Day",7,0,0
"Common nighthawk","Climb","Night",7,0,0
"Common nighthawk","Take-off Run","Dusk",7,0,0
"Doves","Landing Roll","Dawn",7,0,0
"Ducks","Landing Roll","Dusk",7,0,0
"Field sparrow","Approach","Night",7,0,0
"Geese","Landing Roll","Day",7,0,0
"Grackles","Take-off Run","Dusk",7,0,0
"Grasshopper sparrow","Landing Roll","Day",7,0,0
"Green iguana","Take-off Run","Day",7,0,0
"Gulls","Arrival","Day",7,0,0
"Herring gull","Climb","Dusk",7,0,0
"Hoary bat","Landing Roll","Night",7,0,0
"Horned lark","Climb","Dawn",7,0,0
"Laughing gull","Approach","Night",7,0,0
"Laughing gull","Local","Day",7,0,0
"Mallard","Landing Roll","Dawn",7,0,0
"Meadowlarks","Take-off Run","Dawn",7,0,0
"Munias","Landing Roll","Day",7,0,0
"New World wood-warblers","Landing Roll","Day",7,0,0
"Orchard oriole","Approach","Night",7,0,0
"Ovenbird","Landing Roll","Night",7,0,0
"Pacific golden-plover","Approach","Dusk",7,0,0
"Pectoral sandpiper","Take-off Run","Day",7,0,0
"Pigeons","Approach","Day",7,0,0
"Pine warbler","Approach","Day",7,0,0
"Purple martin","Landing Roll","Night",7,0,0
"Purple martin","Take-off Run","Dusk",7,0,0
"Red-eyed vireo","Descent","Night",7,0,0
"Ruby-crowned kinglet","Landing Roll","Night",7,0,0
"Savannah sparrow","Descent","Day",7,0,0
"Savannah sparrow","Landing Roll","Dusk",7,0,0
"Savannah sparrow","Take-off Run","Dawn",7,0,0
"Semipalmated sandpiper","Climb","Day",7,0,0
"Sharp-shinned hawk","Landing Roll","Day",7,0,0
"Silver-haired bat","Landing Roll","Night",7,0,0
"Sparrows","Descent","Day",7,0,0
"Spotted dove","Climb","Day",7,0,0
"Striped skunk","Taxi","Night",7,0,0
"Swallows","Landing Roll","Night",7,0,0
"Swallows","Local","Day",7,0,0
"Tyrant (New World) flycatchers","Approach","Day",7,0,0
"Western cattle egret","Landing Roll","Dusk",7,0,0
"Western flycatcher","Descent","Night",7,0,0
"Western kingbird","Departure","Day",7,0,0
"Western meadowlark","Landing Roll","Dawn",7,0,0
"White-throated sparrow","Landing Roll","Day",7,0,0
"White-throated sparrow","Take-off Run","Day",7,0,0
"Winter wren","Approach","Night",7,0,0
"Yellow-crowned night heron","Take-off Run","Night",7,0,0
"Yellow-rumped warbler","En Route","Day",7,0,0
"Alder flycatcher","Approach","Night",6,0,0
"American crow","Approach","Dusk",6,0,0
"American goldfinch","Climb","Day",6,0,0
"American kestrel","Approach","Dawn",6,0,0
"American kestrel","Descent","Day",6,0,0
"American pipit","Landing Roll","Dusk",6,0,0
"Anna's hummingbird","Approach","Day",6,0,0
"Band-tailed pigeon","Approach","Day",6,0,0
"Barn swallow","Climb","Dusk",6,0,0
"Barn swallow","Climb","Night",6,0,0
"Big brown bat","Approach","Day",6,0,0
"Black-bellied plover","Climb","Day",6,0,0
"Black-billed magpie","Take-off Run","Day",6,0,0
"Bobolink","Landing Roll","Day",6,0,0
"Bonaparte's gull","Approach","Day",6,0,0
"Bonin petrel","Landing Roll","Night",6,0,0
"Brazilian free-tailed bat","Landing Roll","Dusk",6,0,0
"Brazilian free-tailed bat","Take-off Run","Night",6,0,0
"Brown noddy","Landing Roll","Day",6,0,0
"Burrowing owl","Take-off Run","Day",6,0,0
"Cave swallow","Climb","Day",6,0,0
"Cedar waxwing","Descent","Night",6,0,0
"Chuck-will's-widow","Approach","Night",6,0,0
"Common ground dove","Take-off Run","Day",6,0,0
"Common yellowthroat","Climb","Day",6,0,0
"Common yellowthroat","En Route","Night",6,0,0
"Common yellowthroat","Landing Roll","Night",6,0,0
"Coyote","Landing Roll","Dawn",6,0,0
"Domestic/feral cat","Landing Roll","Night",6,0,0
"Doves","Taxi","Day",6,0,0
"Ducks","Departure","Day",6,0,0
"Eastern meadowlark","Climb","Dusk",6,0,0
"Eastern meadowlark","Taxi","Day",6,0,0
"Eastern red bat","Arrival","Night",6,0,0
"Eastern wood-pewee","Approach","Day",6,0,0
"Forster's tern","Approach","Day",6,0,0
"Foxes","Take-off Run","Night",6,0,0
"Gopher tortoise","Take-off Run","Day",6,0,0
"Gray catbird","En Route","Night",6,0,0
"Horned lark","Climb","Night",6,0,0
"Killdeer","Descent","Night",6,0,0
"Lesser nighthawk","Approach","Night",6,0,0
"Lincoln's sparrow","Descent","Night",6,0,0
"Loggerhead shrike","Take-off Run","Day",6,0,0
"Meadowlarks","Landing Roll","Dusk",6,0,0
"Mourning dove","Descent","Day",6,0,0
"Mourning dove","Local","Dusk",6,0,0
"Nightjars","Approach","Night",6,0,0
"Northern house wren","Approach","Day",6,0,0
"Northern rough-winged swallow","Climb","Day",6,0,0
"Ovenbird","Descent","Night",6,0,0
"Owls","Landing Roll","Day",6,0,0
"Owls","Local","Night",6,0,0
"Pacific golden-plover","Climb","Dawn",6,0,0
"Pacific golden-plover","Climb","Dusk",6,0,0
"Prairie falcon","Take-off Run","Day",6,0,0
"Purple finch","Approach","Day",6,0,0
"Red-eyed vireo","Approach","Dawn",6,0,0
"Red-eyed vireo","En Route","Day",6,0,0
"Red-tailed hawk","Taxi","Day",6,0,0
